angle_deg,epsilon,ridge,budget,static,constructive,best_of_static_constructive,gain,epsilon_threshold
15,1e-06,0.05,3.25,0.0006070658673336517,0.000572558654125229,0.000572558654125229,1.0602684335653678,0.001761718063878123
15,1e-06,0.05,3.5,0.00036230504870589863,0.00033883173488944877,0.00033883173488944877,1.0692771998588282,0.0010798767050898329
15,1e-06,0.05,3.75,0.00021627286017087427,0.00020056607300974607,0.00020056607300974607,1.0783122834556618,0.0006612859732062383
15,1e-06,0.05,4.0,0.00012914388994600498,0.0001187711102265463,0.0001187711102265463,1.0873341985241483,0.00040475124644882946
15,1e-06,0.05,4.25,7.715765272716397e-05,7.03817706611442e-05,7.03817706611442e-05,1.096273253746947,0.0002476702578222218
15,1e-06,0.05,4.5,4.613825679316065e-05,4.175378301626783e-05,4.175378301626783e-05,1.1050078210921528,0.00015153018856981241
15,1e-06,0.05,4.75,2.7628133199750956e-05,2.4815803529137466e-05,2.4815803529137466e-05,1.1133281728037294,9.270258251659649e-05
15,1e-06,0.05,5.0,1.6581356447345923e-05,1.4793183661745958e-05,1.4793183661745958e-05,1.1208781575682079,5.6710913599553564e-05
15,1e-06,0.05,5.25,9.987442498410366e-06,8.861452666350488e-06,8.861452666350488e-06,1.1270660550200295,3.4692179715868746e-05
15,1e-06,0.05,5.5,6.050284542774066e-06,5.3497779727557306e-06,5.3497779727557306e-06,1.1309412415965174,2.1222230873491255e-05
15,1e-06,0.05,5.75,3.6982928694255266e-06,3.2697679063880104e-06,3.2697679063880104e-06,1.1310566912716724,1.2982173203541523e-05
